week_start,week,country,iso3,new_confirmed_cases,new_deaths,perc_change_conf_cases,perc_change_deaths
2022-08-06,32,Germany,DEU,215,0,-26.369863013698634,NA
2022-08-13,32,Germany,DEU,0,0,NA,NA
2022-08-13,33,Germany,DEU,164,0,NA,NA
2022-08-20,34,Germany,DEU,139,0,-15.243902439024392,NA
2022-08-27,35,Germany,DEU,75,0,-46.043165467625904,NA
2022-09-03,35,Germany,DEU,13,0,-82.66666666666667,NA
2022-09-03,36,Germany,DEU,25,0,92.3076923076923,NA
2022-09-10,36,Germany,DEU,12,0,-52,NA
2022-09-10,37,Germany,DEU,26,0,116.66666666666666,NA
2022-09-17,38,Germany,DEU,41,0,57.692307692307686,NA
2022-09-24,39,Germany,DEU,28,0,-31.707317073170728,NA
2022-10-01,40,Germany,DEU,20,0,-28.57142857142857,NA
2022-10-08,41,Germany,DEU,6,0,-70,NA
2022-10-15,42,Germany,DEU,5,0,-16.666666666666664,NA
2022-10-22,43,Germany,DEU,6,0,19.999999999999996,NA
2022-10-29,44,Germany,DEU,6,0,0,NA
2022-11-05,45,Germany,DEU,2,0,-66.66666666666667,NA
2022-11-12,45,Germany,DEU,0,0,NA,NA
2022-11-12,46,Germany,DEU,1,0,NA,NA
2022-11-19,47,Germany,DEU,1,0,0,NA
2022-11-26,48,Germany,DEU,-1,0,-100,NA
2022-12-03,49,Germany,DEU,2,0,100,NA
2022-12-10,50,Germany,DEU,2,0,0,NA
2022-12-17,51,Germany,DEU,1,0,-50,NA
2022-12-24,52,Germany,DEU,0,0,NA,NA
2022-12-31,1,Germany,DEU,1,0,NA,NA
2023-01-07,2,Germany,DEU,23,0,2200,NA
2023-01-14,3,Germany,DEU,-11,0,-100,NA
2023-01-21,4,Germany,DEU,3,0,100,NA
2023-01-28,5,Germany,DEU,0,0,NA,NA
2023-02-04,6,Germany,DEU,0,0,NA,NA
2023-02-11,7,Germany,DEU,0,0,NA,NA
2023-02-18,8,Germany,DEU,0,0,NA,NA
2023-02-25,9,Germany,DEU,0,0,NA,NA
2023-03-04,9,Germany,DEU,0,0,NA,NA
2023-03-04,10,Germany,DEU,0,0,NA,NA
2023-03-11,11,Germany,DEU,0,0,NA,NA
2023-03-18,12,Germany,DEU,0,0,NA,NA
2023-03-25,13,Germany,DEU,0,0,NA,NA
2023-04-01,14,Germany,DEU,0,0,NA,NA
2023-04-08,15,Germany,DEU,0,0,NA,NA
2023-04-15,16,Germany,DEU,0,0,NA,NA
2023-04-22,17,Germany,DEU,0,0,NA,NA
2023-04-29,18,Germany,DEU,-1,0,-100,NA
2023-05-06,19,Germany,DEU,0,0,100,NA
2023-05-13,20,Germany,DEU,0,0,NA,NA
2023-05-20,21,Germany,DEU,0,0,NA,NA
2023-05-27,22,Germany,DEU,0,0,NA,NA
2023-06-03,23,Germany,DEU,0,0,NA,NA
2023-06-10,24,Germany,DEU,0,0,NA,NA
2023-06-17,25,Germany,DEU,0,0,NA,NA
2023-06-24,26,Germany,DEU,0,0,NA,NA
2023-07-01,27,Germany,DEU,0,0,NA,NA
2023-07-08,28,Germany,DEU,0,0,NA,NA
2023-07-15,29,Germany,DEU,0,0,NA,NA
2022-05-28,22,Mexico,MEX,1,0,NA,NA
2022-06-04,23,Mexico,MEX,0,0,NA,NA
2022-06-11,24,Mexico,MEX,9,0,NA,NA
2022-06-18,25,Mexico,MEX,1,0,-88.88888888888889,NA
2022-06-25,26,Mexico,MEX,16,0,1500,NA
2022-07-02,27,Mexico,MEX,3,0,-81.25,NA
2022-07-09,28,Mexico,MEX,12,0,300,NA
2022-07-16,29,Mexico,MEX,17,0,41.66666666666667,NA
2022-07-23,30,Mexico,MEX,0,0,NA,NA
2022-07-30,31,Mexico,MEX,32,0,NA,NA
2022-08-06,32,Mexico,MEX,56,0,75,NA
2022-08-13,33,Mexico,MEX,105,0,87.5,NA
2022-08-20,34,Mexico,MEX,134,0,27.61904761904761,NA
2022-08-27,35,Mexico,MEX,118,0,-11.940298507462687,NA
2022-09-03,36,Mexico,MEX,284,0,140.6779661016949,NA
2022-09-10,37,Mexico,MEX,262,0,-7.746478873239438,NA
2022-09-17,38,Mexico,MEX,317,0,20.992366412213737,NA
2022-09-24,39,Mexico,MEX,260,0,-17.981072555205046,NA
2022-10-01,40,Mexico,MEX,341,0,31.153846153846153,NA
2022-10-08,41,Mexico,MEX,179,0,-47.50733137829912,NA
2022-10-15,42,Mexico,MEX,321,0,79.32960893854748,NA
2022-10-22,43,Mexico,MEX,186,0,-42.056074766355145,NA
2022-10-29,44,Mexico,MEX,247,0,32.79569892473118,NA
2022-11-05,45,Mexico,MEX,106,4,-57.08502024291497,NA
2022-11-12,46,Mexico,MEX,138,0,30.188679245283012,NA
2022-11-19,47,Mexico,MEX,147,0,6.521739130434789,NA
2022-11-26,48,Mexico,MEX,70,0,-52.38095238095239,NA
2022-12-03,49,Mexico,MEX,93,0,32.857142857142854,NA
2022-12-10,50,Mexico,MEX,54,0,-41.93548387096774,NA
2022-12-17,51,Mexico,MEX,0,0,NA,NA
2022-12-24,52,Mexico,MEX,128,0,NA,NA
2022-12-31,1,Mexico,MEX,0,0,NA,NA
2023-01-07,2,Mexico,MEX,59,0,NA,NA
2023-01-14,3,Mexico,MEX,0,0,NA,NA
2023-01-21,4,Mexico,MEX,72,0,NA,NA
2023-01-28,5,Mexico,MEX,0,0,NA,NA
2023-02-04,6,Mexico,MEX,60,0,NA,NA
2023-02-11,7,Mexico,MEX,0,0,NA,NA
2023-02-18,8,Mexico,MEX,49,0,NA,NA
2023-02-25,9,Mexico,MEX,0,0,NA,NA
2023-03-04,10,Mexico,MEX,51,0,NA,NA
2023-03-11,11,Mexico,MEX,0,0,NA,NA
2023-03-18,12,Mexico,MEX,9,0,NA,NA
2023-03-25,13,Mexico,MEX,0,0,NA,NA
2023-04-01,14,Mexico,MEX,19,1,NA,NA
2023-04-08,15,Mexico,MEX,0,0,NA,NA
